Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
735,Bike,BMW M 1000 RR [2022],21.90699478826724,1.7887904219977988,16.540623522273844,12,2022-11-18,,World Superbikes,
736,Rider,Philipp Öttl,28.839952530887047,1.1390408385893205,25.422830015119086,35,2024-10-18,Yamaha YZF-R1 [2024],World Superbikes,
737,Rider,Xavi Vierge,38.717503893795346,0.9852687853477021,35.76169753775224,49,2026-02-20,Yamaha YZF-R1 [2026],World Superbikes,
738,Rider,Roberto Tamburini,24.090195312241285,1.9820421255411924,18.144068935617707,10,2023-07-28,Yamaha YZF-R1 [2023],World Superbikes,
739,Rider,Luca Bernardi,19.68591038286505,1.9664451520520514,13.786574926708894,11,2024-10-18,Yamaha YZF-R1 [2024],World Superbikes,
740,Rider,Hafizh Syahrin,24.983524352091177,1.4684199614859574,20.578264467633304,21,2024-08-10,Ducati Panigale V4 R [2024],World Superbikes,
741,Rider,Tarran Mackenzie,28.560592772070382,1.421058651635881,24.29741681716274,23,2026-02-20,Ducati Panigale V4 R [2026],World Superbikes,
742,Rider,Ryan Vickers,26.710658739912716,1.7428686596044147,21.482052761099474,14,2026-02-20,Honda CBR1000RR-R SP [2026],World Superbikes,
743,Rider,Michal Prasek,19.876386270435773,4.841294081609255,5.35250402560801,1,2022-07-29,BMW M 1000 RR [2022],World Superbikes,
744,Rider,Oscar Gutierrez,19.982334096646227,3.8339445849377456,8.48050034183299,2,2022-09-23,Kawasaki ZX-10RR [2022],World Superbikes,
745,Rider,Kyle David Smith,19.03475891314781,3.974114825237146,7.1124144374363745,2,2022-11-18,Kawasaki ZX-10RR [2022],World Superbikes,
746,Rider,Tetsuta Nagashima,28.749223244538612,2.7832030504680794,20.399614093134375,5,2026-02-20,Honda CBR1000RR-R SP [2026],World Superbikes,
747,Bike,Yamaha YZF-R1 [2023],26.956369538922853,1.802957437977671,21.54749722498984,12,2023-10-27,,World Superbikes,
748,Bike,Ducati Panigale V4 R [2023],30.57462628001042,1.7850755141533472,25.21939973755038,12,2023-10-27,,World Superbikes,
749,Rider,Dominique Aegerter,38.5368119820911,1.1836769994399836,34.98578098377115,31,2025-09-26,Yamaha YZF-R1 [2025],World Superbikes,
750,Bike,Kawasaki ZX-10RR [2023],22.20085497897687,1.8983060058840897,16.5059369613246,12,2023-10-27,,World Superbikes,
751,Rider,Remy Gardner,40.13792563203302,1.1269298301009278,36.757136141730236,35,2026-02-20,Yamaha YZF-R1 [2026],World Superbikes,
752,Rider,Danilo Petrucci,38.54741301011997,1.1511332774038407,35.094013177908444,34,2026-02-20,BMW M 1000 RR [2026],World Superbikes,
753,Bike,Honda CBR1000RR-R [2023],21.958194852172447,1.8560348101679278,16.390090421668663,12,2023-10-27,,World Superbikes,
754,Bike,BMW M 1000 RR [2023],24.47967387378277,1.768975133734441,19.172748472579446,12,2023-10-27,,World Superbikes,
755,Rider,Lorenzo Baldassarri,26.661614416768533,1.8078164888716477,21.23816495015359,13,2026-02-20,Ducati Panigale V4 R [2026],World Superbikes,
756,Rider,Ivo Lopes,19.883981250180884,2.5350375642254948,12.2788685575044,8,2025-10-10,Honda CBR1000RR-R [2025],World Superbikes,
757,Rider,Luca Vitali,21.514667378603928,4.629562845170786,7.62597884309157,1,2023-06-02,Kawasaki ZX-10RR [2023],World Superbikes,
758,Rider,Ryo Mizuno,19.335903440216804,4.8900189951458115,4.66584645477937,1,2023-06-02,Honda CBR1000RR-R [2023],World Superbikes,
