Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
400,Rider,Eric Fernández,19.439726177785303,1.6681183234279735,14.435371207501383,14,2025-11-15,Boscoscuro SF20T [2025],Moto2,
401,Rider,Milan Pawelec,19.236999160272383,3.584022243864523,8.484932428678814,2,2025-07-19,Kalex [2025],Moto2,
402,Rider,Alberto Ferrández,22.943001438799612,2.9757094261011363,14.015873160496204,4,2026-03-21,Boscoscuro SF20T [2026],Moto2,
403,Rider,Diogo Moreira,32.698457538622094,2.071685714791368,26.48340039424799,9,2025-11-15,Kalex [2025],Moto2,
404,Rider,Xabi Zurutuza,17.02919461036856,2.9099203650474803,8.299433515226118,4,2025-11-15,Kalex [2025],Moto2,
405,Rider,Alessandro Morosi,17.594375871136037,3.72102381396535,6.431304429239987,2,2025-11-08,Kalex [2025],Moto2,
406,Bike,NTS [2025],16.27122607932104,3.768184553993931,4.966672417339247,2,2025-11-15,,Moto2,
407,Bike,Kalex [2026],25.310939336105918,3.6849711656420774,14.256025839179685,2,2026-03-21,,Moto2,
408,Bike,Boscoscuro SF20T [2026],25.04224875200511,3.618077697053286,14.188015660845252,2,2026-03-21,,Moto2,
409,Bike,Forward F2 [2026],21.80041689297778,3.6535482451632366,10.839772157488069,2,2026-03-21,,Moto2,
410,Rider,Taiyo Furusato,21.401618589063386,4.023371573208266,9.331503869438588,2,2026-03-21,Kalex [2026],Moto2,
411,Rider,José Rueda,20.85177633943762,4.038562771650581,8.736088024485877,2,2026-03-21,Kalex [2026],Moto2,
412,Rider,Ángel Piqueras,20.415026502471566,4.759353932725339,6.136964704295551,1,2026-03-21,Kalex [2026],Moto2,
