Id,Type,Name,Year,Debut,Entries,Mean,StdDev,AvgMean,AvgStdDev,Bike,Series
2,Rider,Shoya Tomizawa,2010,1,10,29.13142637102111,2.3074131030388343,33.32726373064769,4.1006802795915736,Suter [2010],Moto2
1,Bike,Suter [2010],2010,1,17,25.80939503714732,1.710164069664242,25.546582674540222,3.2698010748345605,,Moto2
4,Rider,Alex Debón,2010,1,14,25.583311851469805,1.8624814563279055,26.522106696276886,3.5214321371936332,FTR [2010],Moto2
3,Bike,FTR [2010],2010,1,16,29.8672183371414,1.7924189248011726,28.364309211594293,3.3890097162905315,,Moto2
5,Rider,Jules Cluzel,2010,1,17,29.247461044279124,1.6860273498672858,29.455562948233872,3.2834181127432096,Suter [2010],Moto2
5,Rider,Jules Cluzel,2011,0,17,26.808210966148444,1.2047139719191553,27.943890346196227,1.4214103576770447,Suter [2011],Moto2
7,Rider,Toni Elías,2010,1,17,37.29900995366129,1.8680144128503742,40.29899833911713,3.512743584835537,Moriwaki [2010],Moto2
7,Rider,Toni Elías,2012,0,13,31.937724254947465,1.3585268048181602,34.78395728234836,1.5908205140263285,Kalex [2012],Moto2
7,Rider,Toni Elías,2013,0,10,29.60418879024947,1.1841356980503226,30.778908053466807,1.2693598524785104,Kalex [2013],Moto2
6,Bike,Moriwaki [2010],2010,1,17,24.588943294488008,1.7638889146255967,25.890472368079063,3.323212118604827,,Moto2
8,Rider,Roberto Rolfo,2010,1,17,25.18596098666871,1.6837918164119547,26.573288345261815,3.2538643074899025,Suter [2010],Moto2
8,Rider,Roberto Rolfo,2012,0,11,24.409305319684684,1.3399551938072074,24.638235948701517,1.5016148922428616,Suter [2012],Moto2
8,Rider,Roberto Rolfo,2014,0,2,24.608186226150103,1.287457022246773,24.5995252595216,1.3003183645922691,Suter [2014],Moto2
10,Rider,Mattia Pasini,2010,1,8,18.886360480542518,2.5618931404575593,20.506705791436847,4.228400185943753,Suter [2010],Moto2
10,Rider,Mattia Pasini,2011,0,17,22.772468744147343,1.4023487839094924,21.65787224029369,1.8664542386194667,FTR [2011],Moto2
10,Rider,Mattia Pasini,2013,0,17,25.055155530982592,1.0884860257631686,23.963125584677158,1.2212657251086574,Speed Up [2013],Moto2
10,Rider,Mattia Pasini,2014,0,17,23.72212369668082,0.9511655749489732,24.394814640599932,1.0188357991461299,Kalex [2014],Moto2
10,Rider,Mattia Pasini,2015,0,2,23.6679641886291,0.9385880288195614,23.674749767834825,0.9419593279238352,Kalex [2015],Moto2
10,Rider,Mattia Pasini,2016,0,18,23.78757100507071,0.8639508992554933,23.68418302080698,0.9025607182928026,Kalex [2016],Moto2
10,Rider,Mattia Pasini,2017,0,15,24.338177517618387,0.8312312240052208,24.054838611212237,0.8505669351659859,Kalex [2017],Moto2
10,Rider,Mattia Pasini,2018,0,18,24.598710698337126,0.8014293058538875,24.44860346846533,0.8194680990289827,Kalex [2018],Moto2
10,Rider,Mattia Pasini,2019,0,12,23.75165464748904,0.7842994948175931,24.171804706484533,0.7938200842292056,Kalex [2019],Moto2
10,Rider,Mattia Pasini,2022,0,3,23.339812947550396,0.7787620433976985,23.485307902840024,0.7803920318781711,Kalex [2022],Moto2
10,Rider,Mattia Pasini,2023,0,2,23.327121769347446,0.7768050287194839,23.329007233875817,0.7774326937203896,Kalex [2023],Moto2
10,Rider,Mattia Pasini,2024,0,4,22.483600877235386,0.7732979459827195,22.82825429922904,0.7747045295009158,Boscoscuro SF20T [2024],Moto2
10,Rider,Mattia Pasini,2025,0,2,22.162050480530105,0.7710678943538527,22.229693958340256,0.7716502169766619,Kalex [2025],Moto2
9,Bike,Motobi [2010],2010,1,17,26.51935714181921,1.735592259998411,25.745681855019143,3.2976503735715346,,Moto2
11,Rider,Thomas Luthi,2010,1,17,32.09405016374459,1.7090447500362016,33.422974210466386,3.305817206892458,Moriwaki [2010],Moto2
11,Rider,Thomas Luthi,2011,0,17,32.90835289739148,1.224093457909709,32.38890265096276,1.4401445975762748,Suter [2011],Moto2
11,Rider,Thomas Luthi,2012,0,17,33.99716623924178,1.029784256410601,34.05827396311896,1.125529387971878,Suter [2012],Moto2
11,Rider,Thomas Luthi,2013,0,15,33.51259888980638,0.9286509948852585,33.55601257553329,0.9744341725992951,Suter [2013],Moto2
11,Rider,Thomas Luthi,2014,0,18,33.9604006360975,0.8640790867840742,33.42320397462218,0.8960186501243431,Suter [2014],Moto2
11,Rider,Thomas Luthi,2015,0,18,33.10491249755463,0.8233386892385981,33.61826880022376,0.8461469499387264,Kalex [2015],Moto2
11,Rider,Thomas Luthi,2016,0,17,33.073417350245975,0.8051180017739598,32.99111692562155,0.8159171887472498,Kalex [2016],Moto2
11,Rider,Thomas Luthi,2017,0,13,33.111052583069224,0.7983900231092461,33.22588081739463,0.8050121102891927,Kalex [2017],Moto2
11,Rider,Thomas Luthi,2019,0,19,32.414850722559294,0.7829246220202265,32.677466831751374,0.794169566120291,Kalex [2019],Moto2
11,Rider,Thomas Luthi,2020,0,15,30.54117078939092,0.7733908034172469,31.59210769068968,0.7813839898986403,Kalex [2020],Moto2
11,Rider,Thomas Luthi,2021,0,17,28.31682901881448,0.763492622298827,29.350095659532343,0.7718280694212764,Kalex [2021],Moto2
12,Rider,Simone Corsi,2010,1,17,32.19290569558283,1.6942352776652791,31.956717956530163,3.283909487966466,Motobi [2010],Moto2
