Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
52,Rider,Freddie Frith,23.946876560531187,3.0106287033811996,14.914990450387588,4,1949-07-16,Velocette [1949],MotoGP,
53,Rider,Arthur Good,21.859031187508688,4.408247146114114,8.634289749166346,1,1949-06-16,Norton [1949],MotoGP,
54,Rider,Sidney Lawton,27.387362446842243,2.0694020602158436,21.17915626619471,9,1952-10-04,Norton [1952],MotoGP,
55,Rider,Reginald Lee,21.636306818890965,3.659403063574931,10.658097628166173,2,1950-06-09,AJS [1950],MotoGP,
56,Rider,Tommy McEwans,26.814001273075117,2.640283163255447,18.893151783308774,5,1953-06-11,Matchless [1953],MotoGP,
57,Rider,Stanley Miller,20.60358886264272,2.8638810645348873,12.011945669038058,4,1952-06-15,Norton [1952],MotoGP,
58,Rider,Herbert Myers,20.031661207258836,3.712830772704587,8.893168889145075,2,1950-06-09,Triumph [1950],MotoGP,
59,Rider,Eric Oliver,16.4355881153164,2.310990325172205,9.502617139799785,8,1962-08-10,AJS [1962],MotoGP,
60,Rider,Henry Pinnington,19.60103446349686,4.438203035937655,6.2864253556838925,1,1949-06-16,Norton [1949],MotoGP,
61,Rider,Charlie Salt,20.198428165132395,1.8541080306256972,14.636104073255304,14,1957-06-06,BSA [1957],MotoGP,
62,Rider,Oliver Scott,18.240464629303766,2.345217529492544,11.204812040826134,7,1951-06-07,Norton [1951],MotoGP,
63,Rider,Roy Walker,23.556069981174076,2.568612269413561,15.850233172933393,6,1954-06-17,Velocette [1954],MotoGP,
64,Rider,Arthur Wheeler,23.854153134791915,1.3013369000615473,19.950142434607272,28,1962-10-13,Moto Guzzi [1962],MotoGP,
65,Rider,Arciso Artesiani,34.278385278855524,1.8444475636457458,28.745042587918284,13,1951-09-08,MV Agusta [1951],MotoGP,
66,Bike,Gilera [1949],24.788009651156436,2.783389707987155,16.43784052719497,5,1949-09-03,,MotoGP,
67,Rider,Nello Pagani,32.91167807196347,1.2555290537345174,29.14509091075992,30,1955-05-14,MV Agusta [1955],MotoGP,
68,Rider,Guido Leoni,30.41251365887558,2.518996363554572,22.855524568211862,6,1951-04-07,Moto Guzzi [1951],MotoGP,
69,Rider,Kenneth Bills,27.815441067277995,3.064525930131711,18.621863276882863,4,1950-06-09,Vincent-HRD [1950],MotoGP,
70,Rider,Roger Richoz,28.097242657785767,4.453789036262406,14.73587554899855,1,1949-07-02,Norton [1949],MotoGP,
71,Rider,Hans Kaufmann,26.948538917515464,4.480225417006083,13.507862666497214,1,1949-07-02,Gilera [1949],MotoGP,
