Id,Type,Name,Year,Debut,Entries,Mean,StdDev,AvgMean,AvgStdDev,Bike,Series
2,Rider,Sandro Cortese,2012,1,17,42.494759400268066,1.9460822224456453,41.88152531547661,3.590095625338372,KTM [2012],Moto3
1,Bike,KTM [2012],2012,1,17,30.26577905339807,1.7754967563722859,29.910355484247027,3.3679369800257453,,Moto3
4,Rider,Maverick Viñales,2012,1,15,39.84986821581978,1.982726125833996,40.00999691959118,3.6497573695653482,FTR Honda [2012],Moto3
4,Rider,Maverick Viñales,2013,0,17,38.17428065115331,1.360787652107077,39.1861740679701,1.640477535343287,KTM [2013],Moto3
3,Bike,FTR Honda [2012],2012,1,17,28.627571368542245,1.7289177084797447,28.232177560018698,3.3105305303331547,,Moto3
5,Rider,Louis Rossi,2012,1,17,31.32620770673581,1.7024579672641722,31.29002692550545,3.294326187672598,FTR Honda [2012],Moto3
7,Rider,Luis Salom,2012,1,17,35.349215091809526,1.7176201476008153,33.3526461226896,3.287792939162599,Kalex KTM [2012],Moto3
7,Rider,Luis Salom,2013,0,17,35.60302503239816,1.2661991750854598,35.62431079039123,1.4708843311688888,KTM [2013],Moto3
6,Bike,Kalex KTM [2012],2012,1,17,29.63654784824103,1.7458926008655387,28.416312927871303,3.272834358004885,,Moto3
8,Rider,Niklas Ajo,2012,1,15,20.676792814044784,1.8012304977115134,22.95346779118294,3.396287381446865,KTM [2012],Moto3
8,Rider,Niklas Ajo,2013,0,17,20.0135479234465,1.2485878952822558,20.66728183382086,1.4947291305472512,KTM [2013],Moto3
8,Rider,Niklas Ajo,2014,0,17,22.838387227852426,1.0336541834148079,21.7953624910441,1.1359458366452286,Husqvarna [2014],Moto3
8,Rider,Niklas Ajo,2015,0,10,23.222626939246737,0.9682886191926916,22.980122477994023,1.001971009405542,KTM RC 250 GP [2015],Moto3
9,Rider,Romano Fenati,2012,1,16,30.929698885775398,1.7607893440055022,30.611196650661263,3.3512314567354964,FTR Honda [2012],Moto3
9,Rider,Romano Fenati,2013,0,16,27.928983494852652,1.2490304953739735,29.203998177995192,1.47440237639702,FTR Honda [2013],Moto3
9,Rider,Romano Fenati,2014,0,18,26.551941608571326,1.0267463244092558,27.344515718262333,1.1334727483107907,KTM [2014],Moto3
9,Rider,Romano Fenati,2015,0,18,28.13566253775657,0.9160581069916574,27.230907431351277,0.9702077170297487,KTM RC 250 GP [2015],Moto3
9,Rider,Romano Fenati,2016,0,9,28.331299177178295,0.8912717270447599,28.419934828873455,0.9059732714013121,KTM RC 250 GP [2016],Moto3
9,Rider,Romano Fenati,2017,0,14,27.922030344258125,0.8529074427440599,28.214066323117628,0.8746974072272166,Honda NSF250RW [2017],Moto3
9,Rider,Romano Fenati,2019,0,19,25.268931443861405,0.8097306135879125,26.582139671732833,0.8313353666229868,Honda NSF250RW [2019],Moto3
9,Rider,Romano Fenati,2020,0,17,24.199626229660446,0.7938153559152347,24.794608995830004,0.8068153131503645,Husqvarna FR 250 GP [2020],Moto3
9,Rider,Romano Fenati,2021,0,21,24.98622320051811,0.7785539043923653,24.581330414245866,0.7896894167930951,Husqvarna FR 250 GP [2021],Moto3
9,Rider,Romano Fenati,2023,0,15,23.412705255710772,0.7704936809031022,24.245434210185238,0.7774196676041346,Honda NSF250RW [2023],Moto3
10,Rider,Zulfahmi Khairuddin,2012,1,17,32.38977684095727,1.7391512794782467,30.037034409531902,3.3096395826548117,KTM [2012],Moto3
