Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
1,Rider,Shoya Tomizawa,31.038890282455455,1.912761080442228,25.30060704112877,10,2010-09-04,Suter [2010],Moto2,
2,Bike,Suter [2010],25.526809951298254,1.4867764652248845,21.0664805556236,17,2010-11-06,,Moto2,
3,Rider,Alex Debón,25.179114727097023,1.6335816026539287,20.278369919135237,14,2010-11-06,FTR [2010],Moto2,
4,Bike,FTR [2010],30.19033127006017,1.562197891492196,25.503737595583583,16,2010-11-06,,Moto2,
5,Rider,Jules Cluzel,29.28769479980762,1.099069743616025,25.990485568959546,34,2011-11-05,Suter [2011],Moto2,
6,Rider,Toni Elías,31.200942531047133,1.045593325196275,28.064162555458307,40,2013-08-31,Kalex [2013],Moto2,
7,Bike,Moriwaki [2010],27.148864702238303,1.5130669996943198,22.60966370315534,17,2010-11-06,,Moto2,
8,Rider,Roberto Rolfo,26.208213495147838,1.1626428367551147,22.720284984882493,30,2014-11-08,Suter [2014],Moto2,
9,Rider,Mattia Pasini,26.571684003276598,0.7421221610122655,24.345317520239803,137,2025-08-16,Kalex [2025],Moto2,
10,Bike,Motobi [2010],27.42430675001745,1.4838880119156594,22.97264271427047,17,2010-11-06,,Moto2,
11,Rider,Thomas Luthi,32.00357008686944,0.7312546096908228,29.80980625779697,183,2021-11-13,Kalex [2021],Moto2,
12,Rider,Simone Corsi,27.73573370396794,0.7274716091755968,25.55331887644115,207,2024-11-16,Kalex [2024],Moto2,
13,Rider,Gábor Talmácsi,32.90834732560837,1.4892858794458292,28.44048968727088,17,2010-11-06,Speed Up [2010],Moto2,
14,Bike,Speed Up [2010],24.294665781157917,1.5011233188702566,19.79129582454715,17,2010-11-06,,Moto2,
15,Rider,Sergio Gadea,27.245110571207967,1.4120010332527926,23.00910747144959,19,2013-04-06,Suter [2013],Moto2,
16,Bike,Pons Kalex [2010],27.045413481580155,1.4721426679264593,22.628985477800775,17,2010-11-06,,Moto2,
