Id,Type,Name,Year,Debut,Entries,Mean,StdDev,AvgMean,AvgStdDev,Bike,Series
2,Rider,Harold Daniell,1949,1,5,33.76811832733263,3.5867238878445016,36.85403940707158,5.135912058984916,Norton [1949],MotoGP
2,Rider,Harold Daniell,1950,0,5,32.09002858930457,2.563904017039665,32.74067721492197,2.9775541863306385,Norton [1950],MotoGP
1,Bike,Norton [1949],1949,1,6,23.077427368270985,3.427482226465733,23.498249864171992,4.76627678735003,,MotoGP
3,Rider,Johnny Lockett,1949,1,5,28.023609698357305,3.50420371999604,30.617342692807007,4.970988382338423,Norton [1949],MotoGP
3,Rider,Johnny Lockett,1950,0,6,30.61221607340136,2.4084307107479,29.481888751730935,2.854423133956724,Norton [1950],MotoGP
3,Rider,Johnny Lockett,1951,0,6,30.445492562020384,1.885785375725899,30.263505471966255,2.0909393032701367,Norton [1951],MotoGP
4,Bike,Velocette [1949],1949,1,4,25.115108181713985,3.9936895064572173,25.57272080456743,5.252585854443169,,MotoGP
6,Rider,Artie Bell,1949,1,5,36.201349172053845,3.6239043847556545,32.479210440896665,4.956277330662178,Norton [1949],MotoGP
6,Rider,Artie Bell,1950,0,2,35.465762169104536,3.2044760340053484,36.67092464589905,3.3274068627399944,Norton [1950],MotoGP
8,Rider,Sidney Jensen,1949,1,3,29.254791048301513,4.338252555212797,29.772695135463124,5.439940000709841,Triumph [1949],MotoGP
8,Rider,Sidney Jensen,1950,0,4,27.792748271644886,3.044053517094341,27.715502086357034,3.5243686428109657,AJS [1950],MotoGP
7,Bike,Triumph [1949],1949,1,6,22.96319221345019,3.570930109271809,23.425878949233496,4.847295197023037,,MotoGP
11,Rider,Reg Armstrong,1949,1,2,29.46684219966244,4.972946224275024,30.25536874619783,5.819243255937519,AJS [1949],MotoGP
11,Rider,Reg Armstrong,1950,0,5,30.651787191294044,2.988935203609945,32.04333132191982,3.721753045751237,MV Agusta [1950],MotoGP
11,Rider,Reg Armstrong,1951,0,6,27.836317353907734,2.1438599233189954,29.24396116564944,2.4868453188068,AJS [1951],MotoGP
11,Rider,Reg Armstrong,1952,0,8,29.368715634424067,1.7062907416432436,29.00606222515517,1.9072691474776977,Norton [1952],MotoGP
11,Rider,Reg Armstrong,1953,0,8,31.549924075488597,1.4570671134769617,31.214659202254836,1.5752935143956797,Gilera [1953],MotoGP
11,Rider,Reg Armstrong,1954,0,7,30.937512357047588,1.3204883749508483,31.005036983264517,1.3846777121497884,Gilera [1954],MotoGP
11,Rider,Reg Armstrong,1955,0,7,31.102457583358216,1.2311427813735625,31.085469978404948,1.2750747265817832,Gilera [1955],MotoGP
