Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
1,Rider,Sandro Cortese,41.12429748510139,1.211834008294431,37.48879546021809,34,2012-11-10,KTM [2012],Moto3,
2,Bike,KTM [2012],32.72965718685902,1.1103447068739793,29.398623066237086,34,2012-11-10,,Moto3,
3,Rider,Maverick Viñales,42.03537522765236,0.9217429880499495,39.27014626350251,64,2013-11-09,KTM [2013],Moto3,
4,Bike,FTR Honda [2012],27.913862830942495,1.0890696168793652,24.6466539803044,34,2012-11-10,,Moto3,
5,Rider,Louis Rossi,32.90657395688402,1.092460912045345,29.629191220747984,34,2012-11-10,FTR Honda [2012],Moto3,
6,Rider,Luis Salom,41.09695980006133,0.8885464728014879,38.43132038165686,68,2013-11-09,KTM [2013],Moto3,
7,Bike,Kalex KTM [2012],25.488241860408714,1.0956714776631313,22.20122742741932,34,2012-11-10,,Moto3,
8,Rider,Niklas Ajo,27.468856530921503,0.7449852183184394,25.233900875966185,118,2015-08-09,KTM RC 250 GP [2015],Moto3,
9,Rider,Romano Fenati,29.2181079553356,0.7218058495214418,27.052690406771276,317,2023-11-18,Honda NSF250RW [2023],Moto3,
10,Rider,Zulfahmi Khairuddin,27.088241535660845,0.7333162015004668,24.888292931159445,136,2015-11-07,KTM RC 250 GP [2015],Moto3,
11,Rider,Miguel Oliveira,38.80299135979775,0.747641901778528,36.560065654462164,136,2015-11-07,KTM RC 250 GP [2015],Moto3,
12,Bike,Suter Honda [2012],23.37318654107636,1.0873070487822587,20.111265394729585,34,2012-11-10,,Moto3,
13,Rider,Arthur Sissis,27.276316807026706,0.7855351997719022,24.919711207711,88,2014-08-16,Mahindra MGP3O [2014],Moto3,
14,Rider,Alexis Masbou,31.354344840928597,0.731913871139762,29.15860322750931,144,2016-07-16,Peugeot MGP3O [2016],Moto3,
15,Bike,Honda [2012],25.08950352034187,1.1025654391754718,21.781807202815457,34,2012-11-10,,Moto3,
16,Rider,Alessandro Tonucci,29.45584432335806,0.7362216328018863,27.247179424952403,130,2015-11-07,Mahindra MGP3O [2015],Moto3,
17,Rider,Danny Kent,35.11342263115273,0.772661130972148,32.795439238236284,107,2017-07-01,KTM RC 250 GP [2017],Moto3,
18,Rider,Álex Rins,39.7046016310619,0.7916116069630601,37.329766810172714,104,2014-11-08,Honda [2014],Moto3,
19,Rider,Alberto Moncayo,33.00122051195918,1.1111171603724834,29.667869030841732,32,2012-10-27,FTR Honda [2012],Moto3,
20,Rider,Brad Binder,35.98745526636379,0.7385537969779494,33.77179387542994,175,2016-11-12,KTM RC 250 GP [2016],Moto3,
21,Rider,Héctor Faubel,36.3144713033791,1.2607775409362953,32.53213868057021,24,2012-11-10,FTR Honda [2012],Moto3,
22,Rider,Jasper Iwema,26.648578132878832,0.8340313700757171,24.14648402265168,72,2014-11-08,Mahindra MGP3O [2014],Moto3,
23,Bike,FGR Honda [2012],25.59894462968811,1.10607620892755,22.280716002905457,33,2012-11-10,,Moto3,
24,Rider,Alan Techer,33.341675612067924,0.869959635144992,30.73179670663295,61,2013-10-26,TSR Honda [2013],Moto3,
25,Bike,TSR Honda [2012],23.26183828504159,1.0931059847894626,19.982520330673204,34,2012-11-10,,Moto3,
26,Rider,Jakub Kornfeil,29.793540869294542,0.7165488706655258,27.643894257297966,281,2019-11-16,KTM RC 250 GP [2019],Moto3,
27,Rider,Niccolò Antonelli,30.292819855352523,0.7224245363966425,28.125546246162596,332,2021-11-13,KTM RC 250 GP [2021],Moto3,
28,Rider,Efrén Vázquez,33.72316752199218,0.7410717961536055,31.499952133531366,134,2015-11-07,Honda NSF250RW [2015],Moto3,
29,Rider,Iván Moreno,24.692900238870426,1.446123882320417,20.354528591909173,18,2012-07-14,FTR Honda [2012],Moto3,
30,Rider,Marcel Schrötter,29.912419951575234,1.572500611549596,25.194918116926445,15,2012-07-07,Mahindra MGP3O [2012],Moto3,
31,Bike,Mahindra MGP3O [2012],21.030628386552422,1.1518905823140053,17.574956639610406,34,2012-11-10,,Moto3,
32,Rider,Adrián Martín,28.638314252082154,1.1123912893858188,25.301140383924697,32,2012-11-10,FTR Honda [2012],Moto3,
33,Rider,Daniel Webb,29.749058209617456,0.9967875860242158,26.75869545154481,43,2016-07-16,Mahindra MGP3O [2016],Moto3,
34,Rider,Jack Miller,37.58983262630693,0.7898775989246202,35.22019982953307,98,2014-11-08,KTM [2014],Moto3,
35,Rider,Isaac Viñales,32.26265143276484,0.7351661741145122,30.057152910421305,136,2015-11-07,KTM RC 250 GP [2015],Moto3,
36,Rider,Kenta Fujii,25.656301113960193,1.108079530154535,22.33206252349659,34,2012-11-10,TSR Honda [2012],Moto3,
37,Rider,Simone Grotzkyj Giorgi,29.29398800760131,1.5470320079613802,24.65289198371717,16,2012-07-14,Suter Honda [2012],Moto3,
38,Bike,Oral [2012],20.755692626556712,2.4231805441853598,13.486150994000633,6,2012-05-05,,Moto3,
39,Rider,Luigi Morciano,34.18196287745378,1.2480225571146915,30.437895206109705,26,2012-11-10,Ioda [2012],Moto3,
40,Bike,Ioda [2012],13.666559801857904,1.1329752108497817,10.26763416930856,33,2012-11-10,,Moto3,
41,Rider,Toni Finsterbusch,25.303930264490315,0.8679296036900238,22.700141453420244,64,2013-11-09,Kalex KTM [2013],Moto3,
42,Bike,MZ-RE Honda [2012],23.32493434155065,3.574228821499462,12.602247877052266,2,2012-04-08,,Moto3,
43,Rider,Jonas Folger,40.741880572416406,0.8932623487361042,38.062093526208095,62,2013-11-09,Kalex KTM [2013],Moto3,
44,Rider,Álex Márquez,37.24706919670662,0.800307092958969,34.84614791782971,92,2014-11-08,Honda [2014],Moto3,
45,Rider,Josep Rodríguez,25.690314362017705,1.8000616555916027,20.290129395242896,11,2012-11-10,FGR Honda [2012],Moto3,
46,Bike,MZ FTR [2012],24.48063751252253,3.535363968524071,13.874545606950317,2,2012-04-28,,Moto3,
47,Rider,Giulian Pedone,27.899913173970507,1.1309744514378433,24.506989819656976,32,2012-11-10,Suter Honda [2012],Moto3,
48,Rider,Joan Olivé,22.755226172185186,2.7517206866466735,14.500064112245166,4,2012-08-25,KTM [2012],Moto3,
