Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
1,Rider,Toni Elías,34.86377349285371,1.0510043000754183,31.710760592627455,39,2013-08-30,Kalex [2013],Moto2,
2,Bike,Moriwaki [2010],25.126086553762132,1.5806239181028274,20.384214799453652,16,2010-11-05,,Moto2,
3,Rider,Julián Simón,34.50605088947159,0.7612503008183166,32.22229998701664,112,2017-04-07,Kalex [2017],Moto2,
4,Bike,RSV [2010],27.14401703303334,3.5676718689731284,16.441001426113957,2,2010-04-30,,Moto2,
5,Rider,Stefan Bradl,38.68215623828625,1.1790356464502452,35.14504929893551,32,2011-11-04,Kalex [2011],Moto2,
6,Bike,Suter [2010],25.237439916133628,1.542527957952056,20.60985604227746,16,2010-11-05,,Moto2,
7,Rider,Alex de Angelis,35.02071228404383,0.8357259134972678,32.513534543552026,74,2017-10-27,Kalex [2017],Moto2,
8,Bike,Scot [2010],24.20845848354084,2.1122835702493434,17.87160777279281,8,2010-07-16,,Moto2,
9,Rider,Yuki Takahashi,33.22963803169331,0.8852240267118093,30.573965951557884,63,2015-10-09,Moriwaki [2015],Moto2,
10,Bike,Tech 3 [2010],26.706617620815024,1.51243148372165,22.169323169650074,16,2010-11-05,,Moto2,
11,Rider,Jules Cluzel,35.44165922701601,1.1137896166308343,32.10029037712351,33,2011-11-04,Suter [2011],Moto2,
12,Rider,Raffaele De Rosa,28.98225139837949,1.1729620962835072,25.46336510952897,29,2011-11-04,Suter [2011],Moto2,
13,Rider,Alex Debón,25.419755760734795,1.6310798316933752,20.52651626565467,14,2010-11-05,FTR [2010],Moto2,
14,Bike,FTR [2010],31.49865674106206,1.5968942828154815,26.707973892615616,15,2010-11-05,,Moto2,
15,Rider,Shoya Tomizawa,38.79807284386038,1.9461650975797888,32.959577551121015,10,2010-09-03,Suter [2010],Moto2,
16,Rider,Alex Baldolini,27.039497022206657,1.1561024473170831,23.571189680255408,30,2011-11-04,Moriwaki [2011],Moto2,
17,Bike,ICP [2010],29.228821250983827,1.5065626892840243,24.709133183131755,16,2010-11-05,,Moto2,
18,Rider,Sergio Gadea,27.699885766531466,1.4614103535537915,23.31565470587009,18,2013-04-05,Suter [2013],Moto2,
19,Bike,Pons Kalex [2010],26.47671091592559,1.519749131153421,21.917463522465326,16,2010-11-05,,Moto2,
20,Rider,Roberto Rolfo,30.227813633648296,1.1793099604359245,26.68988375234052,29,2014-11-07,Suter [2014],Moto2,
21,Rider,Mike Di Meglio,30.90493284744689,0.8927924275972288,28.226555564655204,59,2013-08-23,Motobi [2013],Moto2,
22,Rider,Gábor Talmácsi,29.76859184943265,1.5318188998280506,25.173135149948497,16,2010-11-05,Speed Up [2010],Moto2,
23,Bike,Speed Up [2010],28.18230010837405,1.5544802151678323,23.51885946287055,16,2010-11-05,,Moto2,
24,Rider,Niccolò Canepa,23.817800810508434,1.8677429719204892,18.214571894746967,11,2010-09-17,Bimota [2010],Moto2,
25,Rider,Thomas Luthi,34.936198452655695,0.7321075516482943,32.73987579771081,188,2021-11-12,Kalex [2021],Moto2,
26,Rider,Scott Redding,39.795955862023064,0.8794610054079086,37.157572845799336,65,2013-11-08,Kalex [2013],Moto2,
27,Rider,Mattia Pasini,33.14252980273405,0.7496589303205254,30.893553011772475,137,2025-08-15,Kalex [2025],Moto2,
28,Bike,Motobi [2010],25.139063119525233,1.5287430753582456,20.552833893450497,16,2010-11-05,,Moto2,
29,Rider,Ratthapark Wilairot,26.208747766108505,0.8164352973651079,23.75944187401318,83,2016-11-11,Kalex [2016],Moto2,
30,Bike,Bimota [2010],24.0848441052383,1.5822796678373132,19.33800510172636,16,2010-11-05,,Moto2,
31,Rider,Dominique Aegerter,32.849238006983825,0.7347974285341011,30.64484572138152,163,2020-11-20,NTS [2020],Moto2,
32,Rider,Andrea Iannone,37.00373678051692,0.9607396180537663,34.121517926355615,50,2012-11-09,Speed Up [2012],Moto2,
33,Rider,Arne Tode,31.448689586201088,1.8952925245066923,25.76281201268101,10,2010-08-27,Suter [2010],Moto2,
34,Rider,Karel Abraham,27.972705708465757,1.717338757591292,22.820689435691882,13,2010-11-05,FTR [2010],Moto2,
35,Rider,Fonsi Nieto,30.865742993201756,1.6303555301131012,25.974676402862453,14,2010-11-05,Moriwaki [2010],Moto2,
